X,Y,Value
161,80,-100
162,80,-100
163,80,-100
164,80,-100
165,80,-100
166,80,-100
167,80,-100
168,80,-100
169,80,-100
170,80,-100
171,80,-100
172,80,-100
173,80,-100
174,80,-100
175,80,-100
176,80,-100
177,80,-100
178,80,-100
179,80,-100
180,80,-100
181,80,-100
182,80,-100
183,80,-100
184,80,-100
185,80,-100
186,80,-100
187,80,-100
188,80,-100
189,80,-100
190,80,-100
191,80,-100
192,80,-100
193,80,-100
194,80,-100
195,80,-100
196,80,-100
197,80,-100
161,81,-100
162,81,-100
163,81,-100
164,81,-100
165,81,-100
166,81,-100
167,81,-100
168,81,-100
169,81,-100
170,81,-100
171,81,-100
172,81,-100
173,81,-100
174,81,-100
175,81,-100
176,81,-100
177,81,-100
178,81,-100
179,81,-100
180,81,-100
181,81,-100
182,81,-100
183,81,-100
184,81,-100
185,81,-100
186,81,-100
187,81,-100
188,81,-100
189,81,-100
190,81,-100
191,81,-100
192,81,-100
193,81,-100
194,81,-100
195,81,-100
196,81,-100
197,81,-100
161,82,-100
162,82,-100
163,82,-100
164,82,-100
165,82,-100
166,82,-100
167,82,-100
168,82,-100
169,82,-100
170,82,-100
171,82,-100
172,82,-100
173,82,-100
174,82,-100
175,82,-100
176,82,-100
177,82,-100
178,82,-100
179,82,-100
180,82,-100
181,82,-100
182,82,-100
183,82,-100
184,82,-100
185,82,-100
186,82,-100
187,82,-100
188,82,-100
189,82,-100
190,82,-100
191,82,-100
192,82,-100
193,82,-100
194,82,-100
195,82,-100
196,82,-100
197,82,-100
161,83,-100
162,83,-100
163,83,-100
164,83,-100
165,83,-100
166,83,-100
167,83,-100
168,83,-100
169,83,-100
170,83,-100
171,83,-100
172,83,-100
173,83,-100
174,83,-100
175,83,-100
176,83,-100
177,83,-100
178,83,-100
179,83,-100
180,83,-100
181,83,-100
182,83,-100
183,83,-100
184,83,-100
185,83,-100
186,83,-100
187,83,-100
188,83,-100
189,83,-100
190,83,-100
191,83,-100
192,83,-100
193,83,-100
194,83,-100
195,83,-100
196,83,-100
197,83,-100
161,84,-100
162,84,-100
163,84,-100
164,84,-100
165,84,-100
166,84,-100
167,84,-100
168,84,-100
169,84,-100
170,84,-100
171,84,-100
172,84,-100
173,84,-100
174,84,-100
175,84,-100
176,84,-100
177,84,-100
178,84,-100
179,84,-100
180,84,-100
181,84,-100
182,84,-100
183,84,-100
184,84,-100
185,84,-100
186,84,-100
187,84,-100
188,84,-100
189,84,-100
190,84,-100
191,84,-100
192,84,-100
193,84,-100
194,84,-100
195,84,-100
196,84,-100
197,84,-100
161,85,-100
162,85,-100
163,85,-100
164,85,-100
165,85,-100
166,85,-100
167,85,-100
168,85,-100
169,85,-100
170,85,-100
171,85,-100
172,85,-100
173,85,-100
174,85,-100
175,85,-100
176,85,-100
177,85,-100
178,85,-100
179,85,-100
180,85,-100
181,85,-100
182,85,-100
183,85,-100
184,85,-100
185,85,-100
186,85,-100
187,85,-100
188,85,-100
189,85,-100
190,85,-100
191,85,-100
192,85,-100
193,85,-100
194,85,-100
195,85,-100
196,85,-100
197,85,-100
161,86,-100
162,86,-100
163,86,-100
164,86,-100
165,86,-100
166,86,-100
167,86,-100
168,86,-100
169,86,-100
170,86,-100
171,86,-100
172,86,-100
173,86,-100
174,86,-100
175,86,-100
176,86,-100
177,86,-100
178,86,-100
179,86,-100
180,86,-100
181,86,-100
182,86,-100
183,86,-100
184,86,-100
185,86,-100
186,86,-100
187,86,-100
188,86,-100
189,86,-100
190,86,-100
191,86,-100
192,86,-100
193,86,-100
194,86,-100
195,86,-100
196,86,-100
197,86,-100
161,87,-100
162,87,-100
163,87,-100
164,87,-100
165,87,-100
166,87,-100
167,87,-100
168,87,-100
169,87,-100
170,87,-100
171,87,-100
172,87,-100
173,87,-100
174,87,-100
175,87,-100
176,87,-100
177,87,-100
178,87,-100
179,87,-100
180,87,-100
181,87,-100
182,87,-100
183,87,-100
184,87,-100
185,87,-100
186,87,-100
187,87,-100
188,87,-100
189,87,-100
190,87,-100
191,87,-100
192,87,-100
193,87,-100
194,87,-100
195,87,-100
196,87,-100
197,87,-100
161,88,-100
162,88,-100
163,88,-100
164,88,-100
165,88,-100
166,88,-100
167,88,-100
168,88,-100
169,88,-100
170,88,-100
171,88,-100
172,88,-100
173,88,-100
174,88,-100
175,88,-100
176,88,-100
177,88,-100
178,88,-100
179,88,-100
180,88,-100
181,88,-100
182,88,-100
183,88,-100
184,88,-100
185,88,-100
186,88,-100
187,88,-100
188,88,-100
189,88,-100
190,88,-100
191,88,-100
192,88,-100
193,88,-100
194,88,-100
195,88,-100
196,88,-100
197,88,-100
161,89,-100
162,89,-100
163,89,-100
164,89,-100
165,89,-100
166,89,-100
167,89,-100
168,89,-100
169,89,-100
170,89,-100
171,89,-100
172,89,-100
173,89,-100
174,89,-100
175,89,-100
176,89,-100
177,89,-100
178,89,-100
179,89,-100
180,89,-100
181,89,-100
182,89,-100
183,89,-100
184,89,-100
185,89,-100
186,89,-100
187,89,-100
188,89,-100
189,89,-100
190,89,-100
191,89,-100
192,89,-100
193,89,-100
194,89,-100
195,89,-100
196,89,-100
197,89,-100
161,90,-100
162,90,-100
163,90,-100
164,90,-100
165,90,-100
166,90,-100
167,90,-100
168,90,-100
169,90,-100
170,90,-100
171,90,-100
172,90,-100
173,90,-100
174,90,-100
175,90,-100
176,90,-100
177,90,-100
178,90,-100
179,90,-100
180,90,-100
181,90,-100
182,90,-100
183,90,-100
184,90,-100
185,90,-100
186,90,-100
187,90,-100
188,90,-100
189,90,-100
190,90,-100
191,90,-100
192,90,-100
193,90,-100
194,90,-100
195,90,-100
196,90,-100
197,90,-100
161,91,-100
162,91,-100
163,91,-100
164,91,-100
165,91,-100
166,91,-100
167,91,-100
168,91,-100
169,91,-100
170,91,-100
171,91,-100
172,91,-100
173,91,-100
174,91,-100
175,91,-100
176,91,-100
177,91,-100
178,91,-100
179,91,-100
180,91,-100
181,91,-100
182,91,-100
183,91,-100
184,91,-100
185,91,-100
186,91,-100
187,91,-100
188,91,-100
189,91,-100
190,91,-100
191,91,-100
192,91,-100
193,91,-100
194,91,-100
195,91,-100
196,91,-100
197,91,-100
161,92,-100
162,92,-100
163,92,-100
164,92,-100
165,92,-100
166,92,0.840
167,92,0.836
168,92,0.851
169,92,0.845
170,92,-100
171,92,-100
172,92,-100
173,92,-100
174,92,-100
175,92,-100
176,92,-100
177,92,-100
178,92,-100
179,92,-100
180,92,-100
181,92,-100
182,92,-100
183,92,-100
184,92,-100
185,92,-100
186,92,-100
187,92,-100
188,92,-100
189,92,-100
190,92,-100
191,92,-100
192,92,-100
193,92,-100
194,92,-100
195,92,-100
196,92,-100
197,92,-100
161,93,-100
162,93,-100
163,93,-100
164,93,-100
165,93,-100
166,93,0.840
167,93,0.836
168,93,0.851
169,93,0.845
170,93,-100
171,93,-100
172,93,-100
173,93,-100
174,93,-100
175,93,-100
176,93,-100
177,93,-100
