X,Y,Value
295,356,-100
296,356,-100
297,356,-100
298,356,-100
299,356,-100
300,356,-100
301,356,-100
302,356,-100
303,356,-100
304,356,-100
305,356,-100
306,356,-100
307,356,-100
308,356,-100
309,356,-100
310,356,-100
311,356,-100
312,356,-100
313,356,-100
314,356,-100
315,356,-100
316,356,-100
317,356,-100
318,356,-100
319,356,-100
320,356,-100
321,356,-100
322,356,-100
323,356,-100
324,356,-100
325,356,-100
326,356,-100
327,356,-100
328,356,-100
329,356,-100
330,356,-100
331,356,-100
295,357,-100
296,357,-100
297,357,-100
298,357,-100
299,357,-100
300,357,-100
301,357,-100
302,357,-100
303,357,-100
304,357,-100
305,357,-100
306,357,-100
307,357,-100
308,357,-100
309,357,-100
310,357,-100
311,357,-100
312,357,-100
313,357,-100
314,357,-100
315,357,-100
316,357,-100
317,357,-100
318,357,-100
319,357,-100
320,357,-100
321,357,-100
322,357,-100
323,357,-100
324,357,-100
325,357,-100
326,357,-100
327,357,-100
328,357,-100
329,357,-100
330,357,-100
331,357,-100
295,358,-100
296,358,-100
297,358,-100
298,358,-100
299,358,-100
300,358,-100
301,358,-100
302,358,-100
303,358,-100
304,358,-100
305,358,-100
306,358,-100
307,358,-100
308,358,-100
309,358,-100
310,358,-100
311,358,-100
312,358,-100
313,358,-100
314,358,-100
315,358,-100
316,358,-100
317,358,-100
318,358,-100
319,358,-100
320,358,-100
321,358,-100
322,358,-100
323,358,-100
324,358,-100
325,358,-100
326,358,-100
327,358,-100
328,358,-100
329,358,-100
330,358,-100
331,358,-100
295,359,-100
296,359,-100
297,359,-100
298,359,-100
299,359,-100
300,359,-100
301,359,-100
302,359,-100
303,359,-100
304,359,-100
305,359,-100
306,359,-100
307,359,-100
308,359,-100
309,359,-100
310,359,-100
311,359,-100
312,359,-100
313,359,-100
314,359,-100
315,359,-100
316,359,-100
317,359,-100
318,359,-100
319,359,-100
320,359,-100
321,359,-100
322,359,-100
323,359,-100
324,359,-100
325,359,-100
326,359,-100
327,359,-100
328,359,-100
329,359,-100
330,359,-100
331,359,-100
295,360,-100
296,360,-100
297,360,-100
298,360,-100
299,360,-100
300,360,-100
301,360,-100
302,360,-100
303,360,-100
304,360,-100
305,360,-100
306,360,-100
307,360,-100
308,360,-100
309,360,-100
310,360,-100
311,360,-100
312,360,-100
313,360,-100
314,360,-100
315,360,-100
316,360,-100
317,360,-100
318,360,-100
319,360,-100
320,360,-100
321,360,-100
322,360,-100
323,360,-100
324,360,-100
325,360,-100
326,360,-100
327,360,-100
328,360,-100
329,360,-100
330,360,-100
331,360,-100
295,361,-100
296,361,-100
297,361,-100
298,361,-100
299,361,-100
300,361,-100
301,361,-100
302,361,-100
303,361,-100
304,361,-100
305,361,-100
306,361,-100
307,361,-100
308,361,-100
309,361,-100
310,361,-100
311,361,-100
312,361,-100
313,361,-100
314,361,-100
315,361,-100
316,361,-100
317,361,-100
318,361,-100
319,361,-100
320,361,-100
321,361,-100
322,361,-100
323,361,-100
324,361,-100
325,361,-100
326,361,-100
327,361,-100
328,361,-100
329,361,-100
330,361,-100
331,361,-100
295,362,-100
296,362,-100
297,362,-100
298,362,-100
299,362,-100
300,362,-100
301,362,-100
302,362,-100
303,362,-100
304,362,-100
305,362,-100
306,362,-100
307,362,-100
308,362,-100
309,362,-100
310,362,-100
311,362,-100
312,362,-100
313,362,-100
314,362,-100
315,362,-100
316,362,-100
317,362,-100
318,362,-100
319,362,-100
320,362,-100
321,362,-100
322,362,-100
323,362,-100
324,362,-100
325,362,-100
326,362,-100
327,362,-100
328,362,-100
329,362,-100
330,362,-100
331,362,-100
295,363,-100
296,363,-100
297,363,-100
298,363,-100
299,363,-100
300,363,-100
301,363,-100
302,363,-100
303,363,-100
304,363,-100
305,363,-100
306,363,-100
307,363,-100
308,363,-100
309,363,-100
310,363,-100
311,363,-100
312,363,-100
313,363,-100
314,363,-100
315,363,-100
316,363,-100
317,363,-100
318,363,-100
319,363,-100
320,363,-100
321,363,-100
322,363,-100
323,363,-100
324,363,-100
325,363,-100
326,363,-100
327,363,-100
328,363,-100
329,363,-100
330,363,-100
331,363,-100
295,364,-100
296,364,-100
297,364,-100
298,364,-100
299,364,-100
300,364,-100
301,364,-100
302,364,-100
303,364,-100
304,364,-100
305,364,-100
306,364,-100
307,364,-100
308,364,-100
309,364,-100
310,364,-100
311,364,-100
312,364,-100
313,364,-100
314,364,-100
315,364,-100
316,364,-100
317,364,-100
318,364,-100
319,364,-100
320,364,-100
321,364,-100
322,364,-100
323,364,-100
324,364,-100
325,364,-100
326,364,-100
327,364,-100
328,364,-100
329,364,-100
330,364,-100
331,364,-100
295,365,-100
296,365,-100
297,365,-100
298,365,-100
299,365,-100
300,365,-100
301,365,-100
302,365,-100
303,365,-100
304,365,-100
305,365,-100
306,365,-100
307,365,-100
308,365,-100
309,365,-100
310,365,-100
311,365,-100
312,365,-100
313,365,-100
314,365,-100
315,365,-100
316,365,-100
317,365,-100
318,365,-100
319,365,-100
320,365,-100
321,365,-100
322,365,-100
323,365,-100
324,365,-100
325,365,-100
326,365,-100
327,365,-100
328,365,-100
329,365,-100
330,365,-100
331,365,-100
295,366,-100
296,366,-100
297,366,-100
298,366,-100
299,366,-100
300,366,-100
301,366,-100
302,366,-100
303,366,-100
304,366,-100
305,366,-100
306,366,-100
307,366,-100
308,366,-100
309,366,-100
310,366,-100
311,366,-100
312,366,-100
313,366,-100
314,366,-100
315,366,-100
316,366,-100
317,366,-100
318,366,-100
319,366,-100
320,366,-100
321,366,-100
322,366,-100
323,366,-100
324,366,-100
325,366,-100
326,366,-100
327,366,-100
328,366,-100
329,366,-100
330,366,-100
331,366,-100
295,367,-100
296,367,-100
297,367,-100
298,367,-100
299,367,-100
300,367,-100
301,367,-100
302,367,-100
303,367,-100
304,367,-100
305,367,-100
306,367,-100
307,367,-100
308,367,-100
309,367,-100
310,367,-100
311,367,-100
312,367,-100
313,367,-100
314,367,-100
315,367,-100
316,367,-100
317,367,-100
318,367,-100
319,367,-100
320,367,-100
321,367,-100
322,367,-100
323,367,-100
324,367,-100
325,367,-100
326,367,-100
327,367,-100
328,367,-100
329,367,-100
330,367,-100
331,367,-100
295,368,-100
296,368,-100
297,368,-100
298,368,-100
299,368,-100
300,368,-100
301,368,-100
302,368,-100
303,368,-100
304,368,-100
305,368,-100
306,368,-100
307,368,-100
308,368,-100
309,368,-100
310,368,-100
311,368,-100
312,368,-100
313,368,-100
314,368,-100
315,368,-100
316,368,-100
317,368,-100
318,368,-100
319,368,-100
320,368,-100
321,368,-100
322,368,-100
323,368,-100
324,368,-100
325,368,-100
326,368,-100
327,368,-100
328,368,-100
329,368,-100
330,368,-100
331,368,-100
295,369,-100
296,369,-100
297,369,-100
298,369,-100
299,369,-100
300,369,-100
301,369,-100
302,369,-100
303,369,-100
304,369,-100
305,369,-100
306,369,-100
307,369,-100
308,369,-100
309,369,-100
310,369,-100
311,369,-100
312,369,-100
313,369,-100
314,369,-100
315,369,-100
316,369,-100
317,369,-100
318,369,-100
319,369,-100
320,369,-100
321,369,-100
322,369,-100
323,369,-100
324,369,-100
325,369,-100
326,369,-100
327,369,-100
328,369,-100
329,369,-100
330,369,-100
331,369,-100
295,370,-100
296,370,-100
297,370,-100
298,370,-100
299,370,-100
300,370,-100
301,370,-100
302,370,-100
303,370,-100
304,370,-100
305,370,-100
306,370,-100
307,370,-100
308,370,-100
309,370,-100
310,370,-100
311,370,-100
312,370,-100
313,370,-100
314,370,-100
315,370,-100
316,370,-100
317,370,-100
318,370,-100
319,370,-100
320,370,-100
321,370,-100
322,370,-100
323,370,-100
324,370,-100
325,370,-100
326,370,-100
327,370,-100
328,370,-100
329,370,-100
330,370,-100
331,370,-100
295,371,-100
296,371,-100
297,371,-100
298,371,-100
299,371,-100
300,371,-100
301,371,-100
302,371,-100
303,371,-100
304,371,-100
305,371,-100
306,371,-100
307,371,-100
308,371,-100
309,371,-100
310,371,-100
311,371,-100
312,371,-100
313,371,-100
314,371,-100
315,371,-100
316,371,-100
317,371,-100
318,371,-100
319,371,-100
320,371,-100
321,371,-100
322,371,-100
323,371,-100
324,371,-100
325,371,-100
326,371,-100
327,371,-100
328,371,-100
329,371,-100
330,371,-100
331,371,-100
295,372,-100
296,372,-100
297,372,-100
298,372,-100
299,372,-100
300,372,-100
301,372,-100
302,372,-100
303,372,-100
304,372,-100
305,372,-100
306,372,-100
307,372,-100
308,372,-100
309,372,-100
310,372,-100
311,372,-100
312,372,-100
313,372,-100
314,372,-100
315,372,-100
316,372,-100
317,372,-100
318,372,-100
319,372,-100
320,372,-100
321,372,-100
322,372,-100
323,372,-100
324,372,-100
325,372,-100
326,372,-100
327,372,-100
328,372,-100
329,372,-100
330,372,-100
331,372,-100
295,373,-100
296,373,-100
297,373,-100
298,373,-100
299,373,-100
300,373,-100
301,373,-100
302,373,-100
303,373,-100
304,373,-100
305,373,-100
306,373,-100
307,373,-100
308,373,-100
309,373,-100
310,373,-100
311,373,-100
312,373,-100
313,373,-100
314,373,-100
315,373,-100
316,373,-100
317,373,-100
318,373,-100
319,373,-100
320,373,-100
321,373,-100
322,373,-100
323,373,-100
324,373,-100
325,373,-100
326,373,-100
327,373,-100
328,373,-100
329,373,-100
330,373,-100
331,373,-100
295,374,-100
296,374,-100
297,374,-100
298,374,-100
299,374,-100
300,374,-100
301,374,-100
302,374,-100
303,374,-100
304,374,-100
305,374,-100
306,374,-100
307,374,-100
308,374,-100
309,374,-100
310,374,0.814
311,374,0.816
312,374,-100
313,374,-100
314,374,-100
315,374,-100
316,374,-100
317,374,-100
318,374,-100
319,374,-100
320,374,-100
321,374,-100
322,374,-100
323,374,-100
324,374,-100
325,374,-100
326,374,-100
327,374,-100
328,374,-100
329,374,-100
330,374,-100
331,374,-100
295,375,-100
296,375,-100
297,375,-100
298,375,-100
299,375,-100
300,375,-100
301,375,-100
302,375,-100
303,375,-100
304,375,-100
305,375,-100
306,375,-100
307,375,-100
308,375,-100
309,375,-100
310,375,0.814
311,375,0.816
312,375,-100
313,375,-100
314,375,-100
315,375,-100
316,375,-100
317,375,-100
318,375,-100
319,375,-100
320,375,-100
321,375,-100
322,375,-100
323,375,-100
324,375,-100
325,375,-100
326,375,-100
327,375,-100
328,375,-100
329,375,-100
330,375,-100
331,375,-100
295,376,-100
296,376,-100
297,376,-100
298,376,-100
299,376,-100
300,376,-100
301,376,-100
302,376,-100
303,376,-100
304,376,-100
305,376,-100
306,376,-100
307,376,0.840
308,376,0.835
309,376,0.831
310,376,0.830
311,376,0.825
312,376,0.828
313,376,0.824
314,376,0.818
315,376,-100
316,376,-100
317,376,-100
318,376,-100
319,376,-100
320,376,-100
321,376,-100
