tray,pos,hpi,genotype,cluster,size
1,A_01,0,Col-0,Healthy,0.9975617189881134
1,A_01,24,Col-0,Healthy,0.9686739659367397
1,A_01,48,Col-0,Healthy,0.7896953985742061
1,A_01,72,Col-0,Healthy,0.4301873453517144
1,A_01,96,Col-0,Healthy,0.31584948688711517
1,A_02,0,Col-0,Healthy,0.9980475105759844
1,A_02,24,Col-0,Healthy,0.9280230326295585
1,A_02,48,Col-0,Healthy,0.7196495619524406
1,A_02,72,Col-0,Healthy,0.5449718925671455
1,A_02,96,Col-0,Healthy,0.46402065182316876
1,A_03,0,Col-0,Healthy,0.9983464241422075
1,A_03,24,Col-0,Healthy,0.9845971563981043
1,A_03,48,Col-0,Healthy,0.8397705544933078
1,A_03,72,Col-0,Healthy,0.6682926829268293
1,A_03,96,Col-0,Healthy,0.5998501311352566
1,A_04,0,Col-0,Healthy,0.9934971098265896
1,A_04,24,Col-0,Healthy,0.9504302925989673
1,A_04,48,Col-0,Healthy,0.75390625
1,A_04,72,Col-0,Healthy,0.5773263433813892
1,A_04,96,Col-0,Healthy,0.5245081693897966
1,A_05,0,Col-0,Healthy,0.9938800489596084
1,A_05,24,Col-0,Healthy,0.9716952725082806
1,A_05,48,Col-0,Healthy,0.7662146226415094
1,A_05,72,Col-0,Healthy,0.2624813153961136
1,A_05,96,Col-0,Healthy,0.18520727706531465
1,A_06,0,Col-0,Healthy,0.9948512585812357
1,A_06,24,Col-0,Healthy,0.9599443671766342
1,A_06,48,Col-0,Healthy,0.6518417462482947
1,A_06,72,Col-0,Healthy,0.4871582435791218
1,A_06,96,Col-0,Healthy,0.44682048396173324
1,A_07,0,Col-0,Healthy,0.9945095168374817
1,A_07,24,Col-0,Healthy,0.9642991356632845
1,A_07,48,Col-0,Healthy,0.5815076123282584
1,A_07,72,Col-0,Healthy,0.2593414724380318
1,A_07,96,Col-0,Healthy,0.199438202247191
1,A_08,0,Col-0,Healthy,0.9860354223433242
1,A_08,24,Col-0,Healthy,0.9774362328319163
1,A_08,48,Col-0,Healthy,0.7678571428571429
1,A_08,72,Col-0,Healthy,0.6101200129743756
1,A_08,96,Col-0,Healthy,0.5909387222946545
1,A_09,0,Col-0,Healthy,0.9801031687546058
1,A_09,24,Col-0,Healthy,0.9073643410852713
1,A_09,48,Col-0,Healthy,0.40015661707126077
1,A_09,72,Col-0,Healthy,0.2020643112346169
1,A_09,96,Col-0,Healthy,0.17213416881680796
1,A_10,0,Col-0,Healthy,0.969721767594108
1,A_10,24,Col-0,Healthy,0.9358353510895884
1,A_10,48,Col-0,Healthy,0.7623211446740858
1,A_10,72,Col-0,Healthy,0.5444310414153599
1,A_10,96,Col-0,Healthy,0.4764776839565742
1,A_11,0,Col-0,Healthy,0.9663250366032211
1,A_11,24,Col-0,Healthy,0.888487910501624
1,A_11,48,Col-0,Healthy,0.6400565171317556
1,A_11,72,Col-0,Healthy,0.39098274040154984
1,A_11,96,Col-0,Healthy,0.28917842924357584
1,A_12,0,Col-0,Healthy,0.9087473002159827
1,A_12,24,Col-0,Healthy,0.7937823834196891
1,A_12,48,Col-0,Healthy,0.7313203684749232
1,A_12,72,Col-0,Healthy,0.34824120603015074
1,A_12,96,Col-0,Healthy,0.2570694087403599
1,B_01,0,lacs,Healthy,0.9879310344827587
1,B_01,24,lacs,Healthy,0.9408817635270541
1,B_01,48,lacs,Healthy,0.8248127645718007
1,B_01,72,lacs,Healthy,0.46655405405405403
1,B_01,96,lacs,Healthy,0.27813852813852813
1,B_02,0,lacs,Healthy,0.9816337719298246
1,B_02,24,lacs,Healthy,0.9781406373452726
1,B_02,48,lacs,Healthy,0.84375
1,B_02,72,lacs,Healthy,0.5949820788530465
1,B_02,96,lacs,Healthy,0.43785166240409207
1,B_03,0,lacs,Healthy,0.9496644295302014
